Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BT_3862,34.20283318,0.192377965,0.479192804,0.40146255,0.688079605,0.999886879
BT_3863,566.7030614,-0.007931633,0.102278149,-0.077549631,0.938186311,0.999886879
BT_3864,8697.086679,-0.014413629,0.161863124,-0.089048255,0.92904356,0.999886879
BT_3866,34233.68737,-0.194336186,0.297434434,-0.653374875,0.513514633,0.999886879
BT_3868,1025.305461,-0.159616645,0.13024875,-1.225475447,0.220396135,0.999886879
BT_3869,2093.446301,0.020540304,0.127925368,0.160564741,0.872436227,0.999886879
BT_3870,1767.905734,0.121387759,0.118486313,1.024487606,0.305605022,0.999886879
BT_3871,19355.07918,-0.004805431,0.114465034,-0.041981652,0.966513325,0.999886879
BT_3872,42990.68932,0.196590683,0.106717766,1.842155156,0.065452458,0.999886879
BT_3873,52071.64497,0.143902293,0.112660587,1.277308208,0.201493457,0.999886879
BT_3874,350.4793745,0.011318622,0.129832411,0.087178709,0.930529463,0.999886879
BT_3875,35147.29355,-0.045308025,0.239190662,-0.189422215,0.849761915,0.999886879
BT_3876,24261.49796,-0.046790498,0.231892364,-0.201776797,0.840091222,0.999886879
BT_3877,50838.82504,-0.071034761,0.229716793,-0.309227551,0.757148438,0.999886879
BT_3878,51033.15504,-0.0804205,0.242230015,-0.332000559,0.739888837,0.999886879
BT_3879,983.9141506,0.197350929,0.194140355,1.016537389,0.309373553,0.999886879
BT_3880,1301.689149,-0.024757173,0.31838338,-0.077759,0.938019761,0.999886879
BT_3881,994.6298315,-0.056767874,0.342674847,-0.165661046,0.868423703,0.999886879
BT_3882,3733.992479,-0.022745416,0.09248124,-0.245946271,0.805723825,0.999886879
BT_3883,2687.233197,-0.06005009,0.08593798,-0.698760783,0.484701541,0.999886879
BT_3884,1955.594893,-0.111487991,0.095104222,-1.172271732,0.241087977,0.999886879
BT_3885,3058.452692,-0.061908348,0.097005361,-0.638195114,0.523346677,0.999886879
BT_3886,521.2992132,-0.080534875,0.188103521,-0.428141241,0.668548293,0.999886879
BT_3888,2976.836128,0.010970211,0.103108224,0.106395111,0.915268872,0.999886879
BT_3889,7521.028778,-0.002721813,0.109191791,-0.024926902,0.980113269,0.999886879
BT_3890,4689.090383,-0.017357962,0.121742216,-0.142579644,0.886622175,0.999886879
BT_3891,425.6861229,0.013704691,0.148499588,0.092287737,0.926469432,0.999886879
BT_3892,4406.391512,-0.024340424,0.155002811,-0.157032145,0.875219514,0.999886879
BT_3893,2060.047518,-0.111074086,0.162979651,-0.681521194,0.495541761,0.999886879
BT_3894,2496.580974,0.068944939,0.143815855,0.479397344,0.631655983,0.999886879
BT_3895,3426.871504,0.119249413,0.127183194,0.937619263,0.348440108,0.999886879
BT_3896,964.821431,0.056781606,0.131004185,0.433433525,0.664699849,0.999886879
BT_3897,1888.930191,0.066440892,0.120593395,0.550949674,0.581668174,0.999886879
BT_3898,853.9690757,0.108786419,0.196719388,0.553003034,0.580261333,0.999886879
BT_3899,84.27733891,-0.008576771,0.278505286,-0.03079572,0.975432454,0.999886879
BT_3901,89.69888058,0.071301668,0.521881154,0.136624339,0.891327737,0.999886879
BT_3901a,11741.26888,0.060139405,0.239422133,0.251185655,0.801670575,0.999886879
BT_3902,4079.061693,0.495008722,0.480529568,1.03013166,0.302948205,0.999886879
BT_3903,5486.986945,0.511336427,0.490340789,1.042818461,0.29703238,0.999886879
BT_3904,5003.36327,0.440170182,0.491089084,0.896314327,0.37008491,0.999886879
BT_3905,7025.510067,0.539964961,0.466127981,1.158404951,0.24669882,0.999886879
